ec_id,Elec
stage_id,S1
hub_id,H1
unit,kW
1,17.64363636
2,18.04363636
3,19.25818182
4,19.25818182
5,19.66545455
6,19.66545455
7,19.26545455
8,19.13818182
9,18.59636364
10,19.61090909
11,18.92727273
12,18.60969697
13,18.05575758
14,18.8630303
15,18.45575758
16,18.00727273
17,16.82666667
18,17.17212121
19,16.82181818
20,15.74666667
21,15.22424242
22,14.98787879
23,14.19393939
24,13.61212121
25,12.24848485
26,12.24848485
27,12.79393939
28,13.33939394
29,13.09090909
30,15.33575758
31,15.73818182
32,17.71272727
33,17.69939394
34,18.22909091
35,18.14545455
36,17.71272727
37,17.43151515
38,19.14181818
39,19.88606061
40,18.49818182
41,15.71151515
42,16.14181818
43,16.82181818
44,15.74666667
45,15.22424242
46,14.24242424
47,12.7030303
48,12.32121212
49,12.24848485
50,12.24848485
51,12.79393939
52,13.33939394
53,13.09090909
54,15.33575758
55,15.73818182
56,17.71272727
57,17.69939394
58,18.22909091
59,18.14545455
60,17.71272727
61,17.43151515
62,19.14181818
63,19.88606061
64,18.49818182
65,15.71151515
66,16.14181818
67,16.82181818
68,15.74666667
69,15.22424242
70,14.24242424
71,12.7030303
72,12.32121212
73,12.24848485
74,12.24848485
75,12.79393939
76,13.33939394
77,13.09090909
78,15.33575758
79,15.73818182
80,17.71272727
81,17.69939394
82,18.22909091
83,18.14545455
84,17.71272727
85,17.43151515
86,19.14181818
87,19.88606061
88,18.49818182
89,15.71151515
90,16.14181818
91,16.82181818
92,15.74666667
93,15.22424242
94,14.24242424
95,12.7030303
96,12.32121212
97,12.24848485
98,12.24848485
99,12.79393939
100,13.33939394
101,13.09090909
102,15.33575758
103,15.73818182
104,17.71272727
105,17.69939394
106,18.22909091
107,18.14545455
108,17.71272727
109,17.43151515
110,19.14181818
111,19.88606061
112,18.49818182
113,15.71151515
114,16.14181818
115,16.82181818
116,15.74666667
117,15.22424242
118,14.24242424
119,12.7030303
120,12.32121212
121,12.24848485
122,12.24848485
123,12.79393939
124,13.33939394
125,13.09090909
126,15.33575758
127,15.73818182
128,17.71272727
129,17.69939394
130,18.22909091
131,18.14545455
132,17.71272727
133,17.43151515
134,19.14181818
135,19.88606061
136,18.49818182
137,15.71151515
138,16.14181818
139,16.82181818
140,15.74666667
141,15.22424242
142,14.24242424
143,12.7030303
144,12.32121212
145,12.24848485
146,12.24848485
147,12.79393939
148,13.33939394
149,13.09090909
150,15.33575758
151,15.73818182
152,17.71272727
153,17.69939394
154,18.22909091
155,18.14545455
156,17.71272727
157,17.43151515
158,19.14181818
159,19.88606061
160,18.49818182
161,15.71151515
162,16.14181818
163,16.82181818
164,15.74666667
165,15.22424242
166,14.24242424
167,12.7030303
168,12.32121212
