stage_id,S1
hub_id,H1
ec_id,E1
profile_key,price
1,49.81425211
2,56.69678931
3,71.25948804
4,63.69414455
5,78.54527091
6,66.41383259
7,64.27988494
8,65.72494677
9,64.07688234
10,65.25031629
11,58.29259775
12,55.74723013
13,49.23376878
14,39.25780306
15,41.33492544
16,35.22773062
17,33.78820644
18,25.64779409
19,32.61486298
20,26.82495295
21,40.4490049
22,40.14209191
23,48.25016158
24,46.96567138
25,47.05994579
26,51.35935938
27,61.23605875
28,55.99917985
29,73.58916025
30,68.93458622
31,58.94901832
32,64.18162162
33,68.25487162
34,67.92435535
35,57.11550677
36,55.09565495
37,50.3345543
38,48.40434139
39,40.83770677
40,27.06239639
41,33.30758646
42,27.09869613
43,17.08566987
44,23.14736953
45,31.04209926
46,28.16425941
47,55.73990973
48,34.72443136
49,52.63952002
50,59.63298631
51,60.78335736
52,63.99278837
53,63.38191053
54,70.87763382
55,71.72552784
56,76.11147602
57,69.49276113
58,76.97418248
59,57.19895113
60,42.09552563
61,46.75339864
62,47.50089363
63,40.12719709
64,38.25572823
65,40.38376612
66,39.6119022
67,36.9070696
68,27.6002595
69,34.01815509
70,42.88555525
71,36.85723101
72,41.48346243
73,50.03841606
74,63.03829055
75,57.80926443
76,58.54662522
77,71.29086435
78,67.36627179
79,67.92682052
80,76.65568512
81,69.39106141
82,73.8144367
83,58.96444419
84,49.56979234
85,56.9498519
86,45.05415164
87,37.65213922
88,40.7368224
89,30.38583457
90,33.27395351
91,33.74127669
92,31.26391299
93,37.18587494
94,39.54349269
95,50.58162775
96,37.74812764
97,51.23769637
98,58.54660426
99,67.56830503
100,57.07427667
101,71.94465912
102,64.0074859
103,75.4691666
104,75.85028958
105,68.42584396
106,60.01281035
107,63.61238944
108,50.77614584
109,39.90050046
110,45.00534682
111,38.37124374
112,29.50177082
113,28.48535347
114,32.00808864
115,31.6167617
116,32.7816097
117,35.44454388
118,29.22910348
119,39.6704546
120,45.84448568
121,46.06538204
122,57.35589188
123,56.92830344
124,67.77721758
125,65.31664845
126,63.57725441
127,67.08595079
128,56.30435825
129,77.74051061
130,62.4815294
131,60.9496297
132,58.21927588
133,52.66164275
134,46.87433092
135,41.77088522
136,36.1930391
137,25.95229777
138,40.18515274
139,37.96501705
140,32.48637555
141,33.56922501
142,32.35888321
143,41.83023808
144,41.19100995
145,45.09645134
146,55.88291193
147,51.7479262
148,61.39900201
149,69.11156535
150,64.19247612
151,67.82613175
152,62.69767406
153,65.96584222
154,69.87981199
155,63.9601105
156,50.07199936
157,54.92677344
158,37.33483965
159,45.11987203
160,32.34827503
161,33.55486897
162,31.58790394
163,35.021788
164,33.12729762
165,37.54016531
166,25.58613443
167,43.27663613
168,49.69789722
169,54.85551908
170,57.82814466
171,58.84923184
172,69.57974015
173,75.65811815
174,63.08801367
175,76.98873852
176,75.20530847
177,67.98473039
178,70.18185666
179,55.36531509
180,54.62495087
181,41.1293586
182,47.81303578
183,46.87543958
184,38.76685501
185,28.41032668
186,27.19837458
187,32.7833014
188,29.12171634
189,39.457355
190,33.87900115
191,35.37029729
192,43.25552104
193,60.00447095
194,53.22517854
195,67.88661925
196,67.48744269
197,75.67467992
198,69.92970626
199,71.47733739
200,67.89870757
201,67.14876903
202,69.55120592
203,54.89962866
204,53.46760724
205,48.27333114
206,52.66634546
207,38.50525562
208,35.69650102
209,36.47023321
210,28.89776479
211,40.66283038
212,24.45344615
213,39.26159395
214,28.96369165
215,44.01827064
216,42.00229167
217,47.82412407
218,57.6617537
219,56.28325427
220,71.49335917
221,67.27499107
222,76.70296521
223,66.70624893
224,76.39474145
225,68.00646297
226,61.92855938
227,71.21403519
228,58.63619747
229,54.16500108
230,53.86918255
231,32.30400688
232,31.42093333
233,35.02355869
234,36.4458126
235,39.81061421
236,36.22792595
237,31.79663066
238,28.1827041
239,43.63373027
240,54.02526051
241,46.10670028
242,56.18482654
243,59.65129489
244,61.34838173
245,68.19648222
246,70.60548636
247,67.83404214
248,78.79393122
249,67.37691696
250,77.29452874
251,55.94871468
252,60.50588213
253,49.85282337
254,47.04782932
255,43.58152999
256,41.87926906
257,25.35557845
258,35.29484391
259,29.30104903
260,29.82513113
261,41.42165989
262,23.95046858
263,42.81763222
264,48.92092255
265,50.99729562
266,59.17726878
267,66.4189877
268,69.64882551
269,70.06824932
270,59.94567602
271,73.50568541
272,73.7733764
273,73.6101978
274,64.05948462
275,58.55351306
276,55.06348512
277,50.19725268
278,46.00627354
279,41.26767329
280,40.93927163
281,34.41319928
282,38.12452627
283,38.61136619
284,33.7177569
285,38.12984211
286,26.17680106
287,40.07357512
288,44.02152243
289,52.17123088
290,56.64367971
291,65.50064706
292,68.32607085
293,65.91147053
294,67.66183576
295,69.07607613
296,77.55072483
297,70.57489811
298,63.34687798
299,64.43754088
300,60.19086214
301,50.29754363
302,44.68892599
303,37.97098411
304,30.09689689
305,38.35623859
306,29.02497696
307,34.99850519
308,36.0352742
309,29.48797948
310,34.28199107
311,51.10422611
312,56.08973827
313,53.05405139
314,48.51352993
315,61.30751918
316,71.59628251
317,68.61604306
318,76.07757634
319,67.49963847
320,78.40879506
321,73.20115131
322,67.33779065
323,63.51517649
324,57.13568695
325,56.58035006
326,55.56243773
327,39.69349685
328,36.27442733
329,43.2874059
330,36.01337755
331,33.67302786
332,38.72537621
333,32.33166104
334,29.48405976
335,39.79157707
336,46.10970894
337,51.59358959
338,58.83413234
339,63.30473445
340,69.64845153
341,64.53053849
342,74.26232221
343,78.94224476
344,69.26333795
345,68.96612592
346,62.87958161
347,60.2890133
348,56.82637824
349,52.05795052
350,50.25334151
351,35.83824224
352,29.64383424
353,33.47713513
354,34.72406406
355,22.1972955
356,30.90190348
