stage_id,S1,S1
hub_id,H1,H1
tech_id,X2,X2
profile_key,availability,demand_nominal
unit,1,kW
1,0.917450953,7.638615975
2,0.82234392,2.472084305
3,0.925740169,5.51708007
4,0.967612856,15.40448958
5,0.980720947,12.24513206
6,0.976221702,4.649585397
7,0.916811449,5.785910624
8,0.976183959,8.244550002
9,0.954238616,11.25890124
10,0.906876629,9.148164254
11,0.883997565,16.51581707
12,0.938733463,19.32720302
13,0.9158292,2.586808194
14,0.884487176,9.522460797
15,0.94072549,15.99511711
16,0.854274407,16.56237529
17,0.827088276,1.562696445
18,0.95588459,13.46996392
19,0.872409515,5.462086826
20,0.82965709,5.687514772
21,0.86577053,5.202247703
22,0.921622785,6.758872358
23,0.873778025,6.028980586
24,0.848583746,17.59606237
25,0.921081847,8.243496977
26,0.871319546,14.82275389
27,0.881584918,6.567114558
28,0.915731112,3.963731561
29,0.883543762,7.592922963
30,0.829771077,15.13642405
31,0.926756406,8.161632638
32,0.999969842,4.385108247
33,0.860352614,19.27861686
34,0.891527775,0.924604646
35,0.961634454,4.252132696
36,0.861479941,2.789146432
37,0.876049887,10.71013215
38,0.888083016,8.501381085
39,0.889755848,4.842448964
40,0.823764114,13.24523794
41,0.819054031,18.18832932
42,0.982116436,13.68627273
43,0.836078523,1.475156395
44,0.853049487,18.22526307
45,0.976277452,9.185911774
46,0.878424045,8.399369654
47,0.814095945,9.764649934
48,0.860083361,18.31439365
49,0.920303898,8.912662935
50,0.896429063,3.363468966
51,0.954820485,19.77029354
52,0.807738158,12.70820701
53,0.923928462,3.666461033
54,0.878118677,19.54136888
55,0.992447519,8.90301134
56,0.983355144,1.391594207
57,0.961509315,0.491838729
58,0.980451923,12.05893462
59,0.990826112,17.09067477
60,0.818242693,17.13573408
61,0.989047706,7.560009769
62,0.983539033,13.98370071
63,0.925937851,19.21173732
64,0.858447211,16.99211055
65,0.945528461,2.8117187
66,0.808626313,7.118295794
67,0.929697697,3.473564231
68,0.923819643,3.62733404
69,0.966732056,15.01738506
70,0.8512237,7.608215593
71,0.816013271,18.21620126
72,0.872077939,16.02616709
73,0.870208223,17.72216096
74,0.805783898,14.57990626
75,0.995252862,15.39676698
76,0.847995098,11.67697907
77,0.82375796,7.936929853
78,0.958587429,2.832057835
79,0.826359441,9.536875525
80,0.90132029,13.19296099
81,0.878293447,1.962594647
82,0.913935359,10.86473179
83,0.899839286,11.08117628
84,0.853657862,9.016807435
85,0.996495108,15.82781866
86,0.851560603,13.51846944
87,0.829803018,16.96890234
88,0.967422445,11.8612421
89,0.944823898,13.67597241
90,0.97746049,4.870913681
91,0.952591108,9.672153422
