ec_id,E1,E3
stage_id,S1,S1
hub_id,H1,H1
1,668.8649424,1.262793584
2,667.7391991,4.819440831
3,701.2793046,1.398150181
4,607.0855848,3.870506648
5,672.2775996,1.177285363
6,666.5138192,4.474275278
7,633.7404032,2.444697437
8,634.5659995,0.990321107
9,579.8132412,4.374773962
10,640.6512199,3.606506488
11,673.8090468,2.339203218
12,634.6857343,3.167214878
13,656.9395283,3.944192338
14,585.511333,0.277252829
15,613.7944691,1.047998921
16,572.580452,0.646085794
17,567.2811411,2.919127065
18,601.0004183,4.626195546
19,551.0968942,3.730014445
20,595.3667664,1.411797622
21,597.0320744,3.615741747
22,593.5174355,3.280662835
23,605.1619376,3.938736864
24,646.2631037,2.349083171
25,644.9205359,4.610104163
26,631.6561561,3.659012473
27,614.3495502,3.101986671
28,685.4000328,4.180323716
29,674.2428359,1.045962344
30,617.0172526,4.781969262
31,667.0877745,0.91972968
32,626.9210424,2.749415444
33,659.2623587,3.6117967
34,636.0149837,3.286761137
35,599.1845367,2.876856594
36,579.6191525,1.588574044
37,578.3041957,2.115382368
38,593.7936905,3.414249608
39,586.4202768,2.051896317
40,629.0550687,1.664598681
41,574.8577032,1.708608487
42,613.5848082,2.315201898
43,593.4380006,2.168991986
44,584.5746511,0.813927145
45,564.4849961,1.872997844
46,606.9207341,0.576717312
47,630.28563,2.053608828
48,623.4969705,3.349867223
49,613.4663557,2.574721849
50,665.1350038,4.011960794
51,677.5060115,1.662962462
52,628.9318476,2.514490738
53,605.9413707,4.469554739
54,659.1495162,2.464588636
55,644.8854883,2.335468737
56,636.26784,2.616367609
57,642.0684246,2.481106551
58,599.7505539,1.681339906
59,655.0490499,3.926127067
60,626.014336,4.931568318
61,614.5606978,0.495364144
62,562.9706778,4.158450391
63,598.5010921,2.494725381
64,656.7507796,4.659397278
65,594.5533209,3.302186457
66,558.5292673,1.415302782
67,567.9370346,3.895370826
68,613.6825908,3.954945703
69,652.4309888,0.371338818
70,609.3380748,3.398293481
71,660.5344536,2.81411881
72,600.0757755,2.188485595
73,625.8611486,0.234206917
74,654.3867631,3.622821998
75,570.7921291,4.733661297
76,645.8179068,3.847180292
77,648.8061304,2.326025453
78,654.5766312,3.898125641
79,635.9874492,1.679633544
80,673.7084031,0.614014634
81,683.3444055,1.367980636
82,605.1088505,3.476312502
83,608.0537845,4.733148425
84,601.5454957,2.814386684
85,652.0349424,0.051001295
86,602.4764105,4.050825405
87,603.2726367,0.27603123
88,591.1107913,1.51149573
89,585.9509395,3.0579847
90,599.879338,3.120123712
91,599.0812869,1.578436789
92,662.6060412,4.06348087
93,610.5928256,4.315742794
94,630.7617862,0.311318556
95,597.7809216,0.337193117
96,621.2462166,2.321335146
97,673.2638216,3.239551519
98,635.8550564,2.013153627
99,697.546968,3.988269024
100,648.478264,3.179743469
101,638.8793671,0.267773135
102,687.515492,2.073327015
103,611.8682281,0.697028527
104,670.3274815,1.744751208
105,616.4650447,2.562008898
106,666.4331244,4.565925089
107,610.5256459,4.276685797
108,649.6059839,0.767000794
109,585.0343171,1.947583755
110,632.1553248,3.616970857
111,549.7378924,3.8716558
112,566.7023856,2.129571272
113,625.7178491,4.364820808
114,622.021275,4.207720722
115,588.5368143,3.752692235
116,599.5710702,3.249087862
117,559.1640431,1.853944266
118,681.8007771,3.731394261
119,567.6349047,0.605357304
120,584.209021,2.273129211
121,640.7677524,4.937203867
122,573.9391414,3.843084621
123,656.8997606,4.902920915
124,658.1938583,3.851687066
125,662.1277773,0.237711527
126,644.8217653,3.846327158
127,627.5993284,1.717906102
128,704.3440736,1.514108682
129,634.326268,4.429747614
130,661.4526052,2.137187469
131,598.5998615,0.829178779
132,643.3882579,0.769155572
