,datetime,demand_MW
1,2023-01-01 00:00:00,600.4351572118604
2,2023-01-01 01:00:00,599.6221890246568
3,2023-01-01 02:00:00,671.7344372857247
4,2023-01-01 03:00:00,627.3984965855253
5,2023-01-01 04:00:00,685.2510444749562
6,2023-01-01 05:00:00,607.2587725748385
7,2023-01-01 06:00:00,671.2709978352867
8,2023-01-01 07:00:00,631.503441180028
9,2023-01-01 08:00:00,655.9287632690608
10,2023-01-01 09:00:00,625.7557124353075
11,2023-01-01 10:00:00,645.2533274704042
12,2023-01-01 11:00:00,600.7452330288704
13,2023-01-01 12:00:00,652.0240563698117
14,2023-01-01 13:00:00,567.9071965409148
15,2023-01-01 14:00:00,572.5311386932974
16,2023-01-01 15:00:00,583.8792847719961
17,2023-01-01 16:00:00,674.2617983741291
18,2023-01-01 17:00:00,596.5177322019849
19,2023-01-01 18:00:00,551.455255075901
20,2023-01-01 19:00:00,567.0035035674736
21,2023-01-01 20:00:00,576.9494914630229
22,2023-01-01 21:00:00,622.4270751728274
23,2023-01-01 22:00:00,657.0573109829164
24,2023-01-01 23:00:00,653.5234447280434
25,2023-01-02 00:00:00,573.7516446763689
26,2023-01-02 01:00:00,688.2962048209642
27,2023-01-02 02:00:00,617.2019707535152
28,2023-01-02 03:00:00,670.3743265286944
29,2023-01-02 04:00:00,603.6040769635466
30,2023-01-02 05:00:00,593.7206765047272
31,2023-01-02 06:00:00,622.9772448203689
32,2023-01-02 07:00:00,605.3549715557301
33,2023-01-02 08:00:00,681.9965308788215
34,2023-01-02 09:00:00,620.8226770747757
35,2023-01-02 10:00:00,620.9901041308312
36,2023-01-02 11:00:00,651.1784338014548
37,2023-01-02 12:00:00,628.0725229778118
38,2023-01-02 13:00:00,608.2203414112316
39,2023-01-02 14:00:00,580.2748910467533
40,2023-01-02 15:00:00,646.8886396771878
41,2023-01-02 16:00:00,612.3363786510743
42,2023-01-02 17:00:00,596.2673712186437
43,2023-01-02 18:00:00,603.0863320005597
44,2023-01-02 19:00:00,669.3667507524588
45,2023-01-02 20:00:00,579.0988979768617
46,2023-01-02 21:00:00,582.7899738813791
47,2023-01-02 22:00:00,593.978039019022
48,2023-01-02 23:00:00,658.9414049729216
49,2023-01-03 00:00:00,604.7516863862193
50,2023-01-03 01:00:00,636.5833642031914
51,2023-01-03 02:00:00,580.9060114028393
52,2023-01-03 03:00:00,654.1714962898568
53,2023-01-03 04:00:00,646.2520850277309
54,2023-01-03 05:00:00,634.8059886568711
